9,f-ji.avi,f-si.wav,gc,si,118,122,88,147,91,152,2,2,1
11,f-shan.avi,f-shan.wav,gc,sc,90,263,68,113,197,329,2,2,1
5,f-tui.avi,f-ding.wav,gc,si,189,128,141,236,96,160,2,2,1
4,m-ca.avi,m-ca.wav,gc,sc,121,171,91,151,128,214,1,1,1
2,m-yao.avi,m-bai.wav,gc,si,193,178,144,241,133,222,1,1,1
2,f-bai.avi,f-bai.wav,gc,sc,106,178,80,133,134,223,2,2,1
4,f-reng.avi,f-reng.wav,gc,sc,139,132,104,174,99,165,2,2,1
9,m-si.avi,m-si.wav,gc,sc,170,122,128,213,92,153,1,1,1
14,f-qie.avi,f-qie.wav,gc,sc,253,230,190,316,173,288,2,2,1
7,f-ti.avi,f-ti.wav,gc,sc,114,105,86,143,79,131,2,2,1
10,m-sao.avi,m-sao.wav,gc,sc,246,268,185,308,201,335,1,1,1
9,m-ji.avi,m-ji.wav,gc,sc,118,164,89,148,123,205,1,1,1
1,f-an.avi,f-an.wav,gc,sc,152,142,114,190,107,178,2,2,1
10,m-jian.avi,m-sao.wav,gc,si,143,268,107,178,201,335,1,1,1
10,f-jian.avi,f-jian.wav,gc,sc,143,289,107,179,217,361,2,2,1
12,m-ning.avi,m-ning.wav,gc,sc,93,223,70,116,167,279,1,1,1
2,m-yao.avi,m-yao.wav,gc,sc,193,166,145,241,125,208,1,1,1
7,m-feng.avi,m-feng.wav,gc,sc,274,263,206,343,197,329,1,1,1
11,m-jiao.avi,m-jiao.wav,gc,sc,242,236,182,303,177,295,1,1,1
14,f-pen.avi,f-pen.wav,gc,sc,196,119,147,245,89,149,2,2,1
11,m-jiao.avi,m-shan.wav,gc,si,242,263,181,302,197,328,1,1,1
5,f-ding.avi,f-ding.wav,gc,sc,144,128,108,180,96,160,2,2,1
5,m-tui.avi,m-tui.wav,gc,sc,189,220,142,236,165,275,1,1,1
1,f-yun.avi,f-an.wav,gc,si,317,142,237,396,106,177,2,2,1
1,f-yun.avi,f-yun.wav,gc,sc,317,165,238,396,124,206,2,2,1
